sha,file,type,begin,end
be1d9579b6178bf53bc7b5338ae112839c9d8ca4,ql/src/java/org/apache/hadoop/hive/ql/metadata/PartitionTree.java,MOVE,35,151
be1d9579b6178bf53bc7b5338ae112839c9d8ca4,ql/src/java/org/apache/hadoop/hive/ql/metadata/TempTable.java,MOVE,35,180
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTFGetSplits.java,EXTRACT,160,186
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,PULL_UP,57,88
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,PULL_UP,108,141
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,PULL_UP,90,95
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,EXTRACT_SUPER,46,178
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,PULL_UP,102,106
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,PULL_UP,97,100
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTFGetSplits.java,EXTRACT,225,247
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,itests/hive-unit/src/test/java/org/apache/hive/jdbc/AbstractTestJdbcGenericUDTFGetSplits.java,PULL_UP,143,156
